Zone,n
B 8,3
B 9,2
Biina zone a ,6
Biina zone C,1
BUNGALOWS III,1
BUYINJA,2
CHURCH,8
CORNER,5
DUBAI,1
GOOD HOPE,2
KANISA,3
KASASIRO,5
KASUBI I,5
KEZIRONI,2
KI 18,2
KI 9,1
KIBUMBIRO B,6
KIGANDA,5
KIRONDE,6
KIRUNDU,4
KISAASI CENTRAL,3
KISENYI,2
KISOTA,2
KISOWERA,3
KISUGU CENTRAL,7
KITAWULIZI,4
KIWAFU,6
KIYAGA,1
KIZITO,4
KONDOGORO,1
LOWER KONGE,6
LUBIRI,3
LUBOWA,3
LUGALA,4
LUGOBA,6
MAKERERE KIVULU I,3
MAKONZI,4
MAMBOBADO,3
MAPEEERA,3
MAYINJA,11
MBOGO,1
MENGO HILL,3
MIWANDA,3
MUSIGULA,2
Mutajazi b,1
Mutajazi c,1
Mutajazib,1
MutajaziB,1
MVULE,3
NAMALWA II,8
NAMUNGONA I,6
NAMUWONGO B,1
Nateete central D,2
Nateete Central D,4
RAILWAY D,2
SEMPA,3
SEMPIJA,6
SERWADA,6
SSEBOWA,4
SSEBULIBA,4
ST. ANNE,6
SUSANA,4
TAMBULA,1
TUBA,1
UCB,3
UEB,1
UEB ,1
UPPER KONGE,2
Village 12,2
"Village 12
",1
VILLAGE 16,3
VILLAGE 4,5
Village A,2
WAMPAMBA,6
WASAWA,3
ZONE 8,1
ZONE I,6
Zone iv ,6
ZONE IX,6
ZONE V,3
Zone VI,5
ZONE VII,4
